Script started on 2022-10-22 17:19:53+03:00 [COMMAND="./TrainTest.sh" TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="94" LINES="21"]
loading training configuration: /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/config/training_conf9.dict
Training started with data from /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s21Train.root and /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s22Train.root
/home/kpapad/UG_thesis/my_env/lib/python3.10/site-packages/xgboost/sklearn.py:793: UserWarning: `early_stopping_rounds` in `fit` method is deprecated for better compatibility with scikit-learn, use `early_stopping_rounds` in constructor or`set_params` instead.
  warnings.warn(
[597]	validation_0-logloss:0.37396
[598]	validation_0-logloss:0.37370
[599]	validation_0-logloss:0.37338
[600]	validation_0-logloss:0.37290
[601]	validation_0-logloss:0.37261
[602]	validation_0-logloss:0.37242
[603]	validation_0-logloss:0.37189
[604]	validation_0-logloss:0.37131
[605]	validation_0-logloss:0.37079
[606]	validation_0-logloss:0.37044
[607]	validation_0-logloss:0.37017
[608]	validation_0-logloss:0.36983
[609]	validation_0-logloss:0.36967
[610]	validation_0-logloss:0.36916
[611]	validation_0-logloss:0.36888
[612]	validation_0-logloss:0.36855
[613]	validation_0-logloss:0.36828
[614]	validation_0-logloss:0.36774
[615]	validation_0-logloss:0.36739
[616]	validation_0-logloss:0.36697
[617]	validation_0-logloss:0.36668
[618]	validation_0-logloss:0.36633
[619]	validation_0-logloss:0.36594
[620]	validation_0-logloss:0.36564
[621]	validation_0-logloss:0.36534
[622]	validation_0-logloss:0.36505
[623]	validation_0-logloss:0.36453
[624]	validation_0-logloss:0.36413
[625]	validation_0-logloss:0.36371
[626]	validation_0-logloss:0.36331
[627]	validation_0-logloss:0.36285
[628]	validation_0-logloss:0.36250
[629]	validation_0-logloss:0.36223
[630]	validation_0-logloss:0.36191
[631]	validation_0-logloss:0.36165
[632]	validation_0-logloss:0.36135
[633]	validation_0-logloss:0.36100
[634]	validation_0-logloss:0.36053
[635]	validation_0-logloss:0.36016
[636]	validation_0-logloss:0.35973
[637]	validation_0-logloss:0.35929
[638]	validation_0-logloss:0.35878
[639]	validation_0-logloss:0.35829
[640]	validation_0-logloss:0.35793
[641]	validation_0-logloss:0.35769
[642]	validation_0-logloss:0.35734
[643]	validation_0-logloss:0.35690
[644]	validation_0-logloss:0.35642
[645]	validation_0-logloss:0.35604
[646]	validation_0-logloss:0.35556
[647]	validation_0-logloss:0.35521
[648]	validation_0-logloss:0.35480
[649]	validation_0-logloss:0.35455
[650]	validation_0-logloss:0.35432
[651]	validation_0-logloss:0.35408
[652]	validation_0-logloss:0.35365
[653]	validation_0-logloss:0.35337
[654]	validation_0-logloss:0.35298
[655]	validation_0-logloss:0.35274
[656]	validation_0-logloss:0.35247
[657]	validation_0-logloss:0.35217
[658]	validation_0-logloss:0.35177
[659]	validation_0-logloss:0.35165
[660]	validation_0-logloss:0.35122
[661]	validation_0-logloss:0.35077
